frog,eat,flies
cow,eat,grain
elephant,eat,leaves
goat,eat,turf
wolves,eat,rabbit
cat,likes,ball
elephant,likes,water
sheep,eat,grass
cat,eat,salmon
wolves,eat,mice
lion,eat,cow
dog,likes,sleep
coyote,eat,mice
coyote,eat,rodent
coyote,eat,rabbit
wolves,eat,squirrel
cow,eat,grass
frog,eat,flies
cow,eat,grain
elephant,eat,leaves
goat,eat,grass
wolves,eat,rabbit
sheep,eat,grass
cat,eat,salmon
wolves,eat,mice
lion,eat,cow
coyote,eat,mice
elephant,likes,water
cat,likes,ball
coyote,eat,rodent
coyote,eat,rabbit
wolves,eat,squirrel
dog,likes,sleep
cat,eat,salmon
cat,likes,ball
cow,eat,grass
foxes,eat,something
